sigma	surveillance_report_1	surveillance_report_3	surveillance_report_4_summer	surveillance_report_4_winter	season_amp	season_offset	aki_hospitalisation_4_winter	gastro_hospitalisation_4_winter	gastro_gp_attend_1	D_immun	probT_under5	probT_over5	logDensity
0.8990277369133327	0.001788321478298083	6.180701799399137e-4	0.004843777141440859	0.016934785956467868	0.019610871397306794	0.21205342577060798	0.18107391385916954	0.08140277756432725	0.36601206002983694	3.873187920194895	0.11766077791654386	0.03556851557911294	-656.4066615350736
0.8801858921404901	0.0016753358908048568	7.183344646266574e-4	0.0050753701323858974	0.01876254837202969	0.01878169284219909	0.2064995951174085	0.2924274288469403	0.08103756631091391	0.33950417715537284	7.2115180289059415	0.1455259708019608	0.03842504237952328	-653.8596380861443
0.8281435655137019	0.0018037543347585298	6.707345838207281e-4	0.0058110514655565024	0.017532771913408223	0.018590411831088217	0.18930343634239594	0.1856262020139496	0.07678985220017115	0.36430917296690557	5.418898192373513	0.13843012356039672	0.03922485307487891	-655.0616606229012
0.8447022460195662	0.0016698923827910515	6.850135755316612e-4	0.006378942437623061	0.02099102943616308	0.017963837977868574	0.2508569059875985	0.18213408386211172	0.09649561851646647	0.3543709617955024	5.576162827671579	0.1417210498799592	0.03827190333440348	-662.4367008499911
0.8958728926184569	0.0016131113959770183	6.634135089282668e-4	0.005227923015983016	0.01877601915539301	0.016436150944543135	0.13261031349249894	0.22366930379864788	0.08999285935589926	0.3319592956252888	7.5959795246059585	0.14581848545706907	0.03830176959098362	-659.0888732027361
0.895618488978368	0.0017196344590360692	6.672641255306145e-4	0.0056093412749312725	0.018740749901992957	0.01664089110971099	0.1784460797653228	0.2780174566448361	0.0786865974883593	0.36034201996305926	5.167345387145786	0.13107494084999194	0.03608548994085644	-655.6815962531401
0.8561230022714612	0.0016192633476007328	7.379169244023338e-4	0.00626024976794932	0.01927874905860909	0.018801331484570593	0.25847595434772425	0.24029098376069433	0.09223248269835564	0.34909359730470135	5.441643020763383	0.14630036014766618	0.037107948270851905	-656.9762331551595
0.845948966523006	0.0016881416604939364	6.91986521844202e-4	0.006811826608021623	0.019734021500778545	0.01824930746294081	0.3177567719988463	0.2861048317309277	0.08441167511772901	0.34926948291364096	5.562234934832502	0.14400050439476592	0.038040102176727875	-657.5286715361558
0.8304210993247624	0.0016355150285627593	6.978156762559728e-4	0.004087043977907965	0.017319197289816044	0.019929358343748916	0.3000079771587659	0.18649136389849194	0.07579700373852831	0.3527096310780219	5.96830998995804	0.1473603991295152	0.03938509343293188	-663.1971423288118
0.8606932402537066	0.001734743269920088	7.218393305699177e-4	0.005890549435321968	0.01964648874078253	0.017140818194636906	0.29704742087296887	0.21103580782430245	0.10100645856454041	0.3525028056064685	5.207371499163573	0.1415990169624895	0.03689969216655242	-657.0007925789914
